,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,train12,train13,train14,train15,train16,train17,train18,train19,train20,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20
10,0.660000026,0.800000012,0.560000002,0.839999974,0.519999981,0.680000007,0.620000005,0.639999986,0.680000007,0.699999988,0.839999974,0.579999983,0.680000007,0.800000012,0.360000014,0.560000002,0.620000005,0.699999988,0.660000026,0.639999986,0.600000024,0.439999998,0.839999974,0.379999995,0.74000001,0.540000021,0.5,0.660000026,0.25999999,0.239999995,0.699999988,0.25999999,0.360000014,0.639999986,0.680000007,0.600000024,0.639999986,0.360000014,0.540000021,0.819999993,0.400000006,0.720000029
11,0.660000026,0.75999999,0.660000026,0.959999979,0.720000029,0.660000026,0.680000007,0.699999988,0.579999983,0.74000001,0.660000026,0.579999983,0.620000005,0.74000001,0.600000024,0.560000002,0.699999988,0.620000005,0.460000008,0.720000029,0.779999971,0.319999993,0.699999988,0.400000006,0.879999995,0.460000008,0.519999981,0.479999989,0.280000001,0.319999993,0.699999988,0.340000004,0.239999995,0.519999981,0.800000012,0.5,0.699999988,0.460000008,0.579999983,0.800000012,0.560000002,0.720000029
12,0.680000007,0.660000026,0.699999988,0.839999974,0.680000007,0.720000029,0.819999993,0.620000005,0.699999988,0.74000001,0.699999988,0.639999986,0.699999988,0.680000007,0.5,0.779999971,0.639999986,0.540000021,0.660000026,0.779999971,0.680000007,0.379999995,0.839999974,0.400000006,0.899999976,0.560000002,0.600000024,0.620000005,0.379999995,0.219999999,0.660000026,0.379999995,0.400000006,0.5,0.74000001,0.720000029,0.779999971,0.460000008,0.540000021,0.75999999,0.680000007,0.879999995
13,0.839999974,0.720000029,0.699999988,0.839999974,0.779999971,0.720000029,0.74000001,0.75999999,0.699999988,0.74000001,0.680000007,0.74000001,0.819999993,0.74000001,0.639999986,0.579999983,0.75999999,0.680000007,0.779999971,0.800000012,0.800000012,0.439999998,0.680000007,0.560000002,0.939999998,0.639999986,0.560000002,0.74000001,0.319999993,0.280000001,0.839999974,0.579999983,0.439999998,0.5,0.74000001,0.660000026,0.680000007,0.519999981,0.560000002,0.839999974,0.779999971,0.899999976
14,0.800000012,0.639999986,0.839999974,0.819999993,0.74000001,0.779999971,0.75999999,0.800000012,0.620000005,0.639999986,0.779999971,0.779999971,0.779999971,0.779999971,0.660000026,0.639999986,0.720000029,0.75999999,0.819999993,0.939999998,0.779999971,0.660000026,0.819999993,0.600000024,0.959999979,0.639999986,0.579999983,0.720000029,0.419999987,0.300000012,0.720000029,0.519999981,0.600000024,0.479999989,0.819999993,0.720000029,0.779999971,0.680000007,0.639999986,0.879999995,0.779999971,0.939999998
15,0.680000007,0.879999995,0.819999993,0.879999995,0.819999993,0.699999988,0.74000001,0.660000026,0.860000014,0.819999993,0.779999971,0.779999971,0.75999999,0.779999971,0.699999988,0.639999986,0.839999974,0.74000001,0.779999971,0.860000014,0.860000014,0.439999998,0.879999995,0.75999999,0.879999995,0.75999999,0.639999986,0.620000005,0.280000001,0.360000014,0.839999974,0.560000002,0.620000005,0.540000021,0.819999993,0.720000029,0.800000012,0.639999986,0.660000026,0.939999998,0.720000029,0.899999976
16,0.939999998,0.800000012,0.839999974,0.860000014,0.800000012,0.819999993,0.779999971,0.839999974,0.800000012,0.680000007,0.860000014,0.800000012,0.699999988,0.879999995,0.699999988,0.699999988,0.800000012,0.75999999,0.75999999,0.879999995,0.879999995,0.560000002,0.839999974,0.75999999,0.839999974,0.579999983,0.620000005,0.720000029,0.579999983,0.239999995,0.879999995,0.680000007,0.600000024,0.620000005,0.800000012,0.879999995,0.720000029,0.620000005,0.74000001,0.879999995,0.819999993,0.939999998
17,0.800000012,0.860000014,0.959999979,0.860000014,0.720000029,0.75999999,0.800000012,0.839999974,0.819999993,0.819999993,0.860000014,0.860000014,0.74000001,0.800000012,0.819999993,0.75999999,0.839999974,0.74000001,0.879999995,0.74000001,0.839999974,0.620000005,0.879999995,0.75999999,0.819999993,0.620000005,0.639999986,0.74000001,0.600000024,0.25999999,0.819999993,0.74000001,0.660000026,0.639999986,0.779999971,0.800000012,0.800000012,0.699999988,0.819999993,0.959999979,0.75999999,0.959999979
18,0.879999995,0.779999971,0.899999976,0.779999971,0.879999995,0.920000017,0.800000012,0.899999976,0.819999993,0.800000012,0.75999999,0.920000017,0.860000014,0.920000017,0.75999999,0.75999999,0.899999976,0.839999974,0.800000012,0.899999976,0.779999971,0.660000026,0.879999995,0.819999993,0.939999998,0.660000026,0.660000026,0.720000029,0.660000026,0.360000014,0.860000014,0.720000029,0.819999993,0.639999986,0.860000014,0.839999974,0.779999971,0.720000029,0.779999971,0.920000017,0.680000007,0.939999998
19,0.899999976,0.819999993,0.959999979,0.819999993,0.800000012,0.839999974,0.819999993,0.899999976,0.720000029,0.860000014,0.839999974,0.879999995,0.839999974,0.839999974,0.75999999,0.699999988,0.899999976,0.860000014,0.939999998,0.920000017,0.819999993,0.839999974,0.879999995,0.720000029,0.860000014,0.800000012,0.519999981,0.839999974,0.74000001,0.319999993,0.899999976,0.860000014,0.720000029,0.600000024,0.860000014,0.839999974,0.75999999,0.660000026,0.839999974,0.879999995,0.600000024,1
